#Gene_A	Gene_B
852773	855705
853618	855524
852241	852319
850549	854376
852373	853503
851030	852728
851394	853285
851088	852962
852283	852549
850312	856856
854741	855514
852757	854485
852549	855283
850422	855862
851408	852736
850499	855841
855013	855949
853811	853985
856434	856716
851570	854373
852740	854997
852327	855857
853350	856425
852646	856076
850612	853941
853641	855450
6607	853468
852919	855466
852493	854701
853612	856480
851342	854509
853137	856897
852821	855458
852425	853191
851015	855104
852223	855568
851930	855665
853891	856294
855622	856398
851575	852624
853361	855863
851707	855512
853803	855512
851394	853761
855929	856507
852577	855512
850347	852522
852755	853146
852479	852746
852497	855267
851779	852697
853774	854227
852168	852984
852755	854387
853840	856169
852755	854918
854441	856289
850580	855836
851030	855514
852416	853681
852755	855832
