Gene_A	Gene_B
2538963	2540473
2539978	2908
2541203	2542868
2539737	2540234
2540398	2542620
2539928	2541617
2543227	2543254
2539189	2541807
2540547	2540711
2539481	2540932
2538900	2543058
2541972	2543058
2538843	2540249
2541146	2908
2540735	2540902
2543058	2543560
2539958	2542940
2541531	2542088
2540927	3361378
2540398	2541126
2540398	2541715
2539847	2540190
2542475	2543042
2539026	2543040
2539928	2541652
2542252	2543058
2540352	2543058
2539299	2908
2542907	2543114
2540730	2541642
2540735	2542090
2541813	2542314
2541182	2541323
2539311	2541531
2540046	2543546
2543036	3361521
2541531	3361483
2539330	2542618
2540914	2540917
2539996	2543058
2539666	2540106
2541602	2541998
2540784	2541161
2543042	2543293
2539941	2542000
2539947	2540409
2538881	2541540
2541437	2541531
2539295	2541652
2538843	2542626
2539041	2539958
2540109	2540175
2541349	2541989
2540096	2541531
2541055	2541178
2540337	2543254
2539537	2542173
2539182	2543007
2539190	2540744
2542096	2543517
2539958	2543666
2541531	3361454
2540794	2541268
2538766	2908
2541468	2542175
2540494	2542256
2542965	3361384
2539047	2543576
2540569	3361526
2540099	2543621
2540983	2542910
2539175	2539175
2540744	2541642
2538843	2538988
2539560	2542829
2541942	2543500
2542740	2542777
2539958	3361262
2541363	2541813
2541143	2542621
2539958	2540992
2541203	2542078
2543157	2543221
2543497	2908
2541289	2542222
2539775	2540408
2539531	2541941
2539560	2543325
2539631	2542427
2540927	2541657
2538930	2542467
2541814	2543254
2540700	2543572
2540179	3361526
2540991	2541531
2542858	2543546
2542293	3361476
2540565	2542433
2539943	3361532
2540677	2542358
2542463	2542502
2541508	2542928
2539205	2543129
2540455	2542740
2539216	2541706
2538788	2908
2540315	2542358
14217670	2539958
2540902	2542198
2539631	2540629
2542002	2542486
2540291	2541612
2543241	2908
2539540	2542674
2539970	2543585
2540439	2541531
2541652	2541982
2539769	2541531
2539369	2541813
2539004	2539869
2540398	2541143
2539560	2540032
2538907	2543298
2542175	2542293
2540057	2542263
2542173	2543549
2538967	2540612
2539879	2543042
2538974	2539730
2539864	2541531
2539730	2541461
2539928	2541822
2539237	2539495
2538955	2543426
2538967	2543517
2539000	2540686
2541143	2542037
2541737	2541813
14217735	2541813
2540541	2908
2539999	2542638
2538988	2540691
2542393	997
2540499	2542358
2540039	3361269
2538694	2539687
2543646	2543646
2539249	2539773
2540778	2541306
2542134	2542173
2540057	2542173
2540363	2540999
2539765	2541531
2539527	2543387
2542461	2543409
2540927	2541942
2541531	2541755
2542000	3361260
2541018	2541506
2540907	2540907
2540239	2540239
2541531	2543325
2540602	2541531
2542619	2542619
2538836	2541851
2538907	2543227
2539338	2539534
2541143	2541519
2539701	2541813
2539986	2541813
2541185	2542690
2540398	2541655
2539740	2539740
2542409	3361526
2540825	2542239
2538901	2540291
2540398	2540674
2541963	2541963
2539560	2542163
2540398	2543197
2539050	2542467
2539845	2543576
2539126	2540927
2541262	2541531
2539390	2908
2539992	2543027
2539277	2908
2540398	2541908
2539047	2541505
2539459	2539847
2541947	850620
2540458	2541326
2539117	2541178
2542269	2543042
2541639	2542173
2540656	2542299
2541942	2543254
2540350	2543037
2540939	2541089
2541531	2542385
2539047	2542617
2540612	2540612
2542409	2543580
2542047	2542173
2539572	2543646
2540936	2542814
2539047	2540908
2539035	2543271
2542655	2542732
2539728	2541930
2540917	2542972
2539737	2540309
2540969	2542953
2541185	2542348
2539920	2540019
2541274	2542268
2539467	2543576
2539123	2542677
2543189	2543676
2540464	2540574
2539869	2540992
2542517	3361036
2540199	2540564
2540411	2541531
2539820	2540630
2540426	2541531
2540357	2540927
2539225	2540799
2539970	2543009
2539963	2541599
2541319	2541661
2541619	3361532
2539237	2542175
2538827	2539481
2540753	2542000
2540929	2540929
2539185	2539914
2539047	2542795
2539778	2542358
2542682	2542773
2539733	2540292
2543105	2908
2542480	2542806
2539560	2543563
2539823	3361532
2538945	2541531
2542619	2543409
2540398	2542121
2541402	2541531
2541054	2543254
2542531	2542690
2540712	2541281
2541255	3361511
2542665	2542665
2538797	2541168
2539958	2542536
2540268	3361384
2540725	2542452
2539958	2540081
2542481	2543254
2539149	2539869
2541938	2543607
2539225	2539730
2539481	2541721
2541531	2543539
2539155	2541856
2539716	2541975
2542461	2542461
2539882	2541582
3361532	3361532
2541768	2542129
2541143	2542482
2539622	2541531
2539847	2541178
2541213	2541933
2541153	2541871
2540149	2541531
2539047	2543388
2539538	2540291
2539239	2540927
2540825	2542198
2540220	2543037
2541612	2543254
2543571	2543571
2540291	2543540
2540954	2541859
2539222	2539222
2542214	2543254
2541466	3361260
2540398	2540479
2539958	2540628
2539631	2542249
2540541	2543426
2540291	2542610
2539197	2539869
2538964	2543254
2539047	2541674
2541268	2543114
2539730	2543553
2541350	2543382
2540706	2541585
2539155	2540480
2539047	2540366
2542740	2543153
2539764	2540398
2539751	2539751
2538907	2539999
2540927	2541449
2540589	2542615
2539581	2541725
2539531	2543517
2540230	2542263
2540239	2541193
2541547	2542274
2539699	2542173
2541616	2543229
2539352	2540719
2541257	2541960
2542173	2543541
2541675	2542622
2541585	2542969
2541141	2541141
2538689	2541143
2539789	2541143
2539847	2540120
2543129	2543304
2539914	2540660
2540959	2543042
2539958	2541716
2540547	2543042
2541813	2542793
2538766	2539047
2540723	2541281
2540145	2540977
2540230	2542173
2540627	2543254
2540291	2541519
2542452	3361532
2538720	2543544
2540291	2541493
2540324	2541143
2539399	2543281
2541143	2543037
2540133	2541137
2541249	2541531
2539049	3361521
2543254	2543491
2542256	2543189
2540927	2541014
2541213	2541690
2542666	2543042
2539659	2908
2543380	2908
2543380	3361526
2542186	2543046
2539972	2908
2541123	2542749
2539189	2540128
2539342	2539958
2538988	2541143
2539284	2543058
2539743	2539914
2539699	2541143
2538689	2541655
2540927	2543333
2540547	2542097
2540887	851337
2539560	2540431
2539685	2541585
2539899	2541145
2541353	2543254
2542236	2543517
2540790	2541386
2540711	2541143
2538833	2539047
2539481	2539542
2541095	2541531
2543333	2908
2539078	3361566
2539523	2539658
2541531	2543031
2539154	2908
2541429	2541813
2539963	2540633
2541585	2542454
2540128	2540939
2539048	2908
2542538	2908
2540810	2541117
2539560	2542744
2539958	2540714
2541531	2542813
2539914	2543344
2542112	3361384
2540408	2541531
2540778	2542503
2541281	2541818
2541813	2542481
2539035	2540398
2540291	2541668
2539847	2540358
2540002	2540144
2541473	2542388
2542268	2542327
2541585	2542754
2540380	2541975
2541345	2541813
2539531	2542094
2540632	3361526
2539970	2542078
2539730	2540884
2538922	2540927
2539130	2541531
2538881	2540318
2540932	2542176
2539047	2541972
2539481	2541633
2539047	2541345
2540223	2542655
2539847	2542509
2541342	3361327
2539847	2542776
2539639	3361204
2540434	2542467
2540291	2542554
2538846	2541699
2541813	2541989
2540753	2542222
2541599	2543517
2541585	2542396
2540291	2540924
2540350	2543580
2540735	2541337
2540799	2541900
2540547	2543676
2540494	2542311
2539560	2543647
2540291	2540434
2539928	2542173
2539047	2541077
2539678	2543646
2539631	2542705
2541941	2542720
2540350	2541941
2541756	2543037
2539928	2541460
2538852	2541929
2542694	3361384
2539468	2541531
2540927	2542564
2541531	2542744
2540025	2543040
2538903	2540513
2540705	2542531
2541143	2543549
2540314	2543058
2541073	2541840
2540833	2543646
2539261	2908
2542256	2542837
2540617	2540810
2540866	2541531
2539513	2540051
2540264	2541585
2541633	2542788
2543517	3361526
2542327	2542358
2540487	2540939
2541540	5802965
2539733	2540291
2540325	2541772
2541531	2541927
2540691	2542370
2542452	2543324
2540369	2541788
2539414	2539818
2539047	2540968
2540179	3361521
2540324	2542121
2540438	2541298
2543347	2543412
2539550	2539764
2540105	2540436
2541874	2543646
2538907	2539899
2539560	2540018
2541362	2541941
2539862	2543058
2542928	2543431
2540128	2540767
2542733	2543009
2539928	2541872
2538874	2538874
